date,open,high,low,fin,vol,,
2021-04-08T14:30:00,1170,1175,1170,1170,298158.6027,,
2021-04-08T14:00:00,1185,1185,1170,1175,7330202.989,,
2021-04-08T13:30:00,1170,1185,1165,1180,14829944.45,,
2021-04-08T13:00:00,1155,1180,1145,1175,13823599.31,,
2021-04-08T12:30:00,1135,1175,1130,1160,25645334.63,,
2021-04-08T12:00:00,1160,1165,1110,1135,57695548.83,,
2021-04-08T11:30:00,1190,1195,1160,1160,27145175.89,,
2021-04-08T11:00:00,1210,1215,1185,1190,14607555.6,,
2021-04-08T10:30:00,1200,1225,1200,1210,14264320.82,,
2021-04-08T10:00:00,1215,1225,1190,1205,22013725.53,,
2021-04-08T09:30:00,1205,1245,1190,1220,39211620.6,,
2021-04-08T09:00:00,1195,1225,1150,1205,64857729.98,,
2021-04-08T08:30:00,1220,1220,1180,1195,24129269.56,,
2021-04-08T08:00:00,1230,1230,1205,1220,18633185.81,,
2021-04-08T07:30:00,1220,1245,1210,1225,17597575.21,,
2021-04-08T07:00:00,1200,1250,1200,1220,25280897.72,,
2021-04-08T06:30:00,1165,1210,1160,1200,15387794.13,,
2021-04-08T06:00:00,1155,1175,1140,1165,10216336.93,,
2021-04-08T05:30:00,1150,1165,1140,1155,6943040.403,,
2021-04-08T05:00:00,1180,1185,1135,1150,7438894.207,,
2021-04-08T04:30:00,1180,1195,1165,1180,5543950.283,,
2021-04-08T04:00:00,1185,1190,1150,1180,13297944.48,,
2021-04-08T03:30:00,1190,1205,1180,1185,4974408.605,,
2021-04-08T03:00:00,1185,1215,1180,1185,6848910.772,,
2021-04-08T02:30:00,1205,1215,1180,1185,7961917.57,,
2021-04-08T02:00:00,1205,1220,1195,1205,10728756.16,,
2021-04-08T01:30:00,1205,1230,1195,1210,16351298.77,,
2021-04-08T01:00:00,1195,1215,1160,1205,31305774.07,,
2021-04-08T00:30:00,1210,1220,1180,1190,22951857.06,,
2021-04-08T00:00:00,1190,1245,1190,1210,25006113.56,,
2021-04-07T23:30:00,1240,1245,1185,1195,43260426.26,,
2021-04-07T23:00:00,1200,1245,1190,1235,46455078.98,,
2021-04-07T22:30:00,1170,1225,1160,1200,64332981.65,,
2021-04-07T22:00:00,1165,1195,1140,1170,64917713.15,,
2021-04-07T21:30:00,1095,1170,1085,1170,74748505,,
2021-04-07T21:00:00,1150,1160,1035,1090,140185235.3,,
2021-04-07T20:30:00,1175,1175,1125,1155,68259456.18,,
2021-04-07T20:00:00,1170,1220,1160,1170,48227671.58,,
2021-04-07T19:30:00,1185,1210,1160,1170,44682116.04,,
2021-04-07T19:00:00,1170,1225,1165,1185,54068900.37,,
2021-04-07T18:30:00,1135,1185,1115,1175,67403925.17,,
2021-04-07T18:00:00,1220,1235,1130,1130,94693045.43,,
2021-04-07T17:30:00,1220,1255,1195,1220,69204144.6,,
2021-04-07T17:00:00,1265,1345,1210,1215,102744232.8,,
2021-04-07T16:30:00,1250,1275,1180,1260,84481853.36,,
2021-04-07T16:00:00,1235,1265,1085,1255,202595697.4,,
2021-04-07T15:30:00,1325,1365,1235,1240,78347608.93,,
2021-04-07T15:00:00,1405,1420,1295,1330,66178939.52,,
2021-04-07T14:30:00,1425,1440,1400,1405,23098122.61,,
2021-04-07T14:00:00,1425,1450,1415,1420,23896499,,
2021-04-07T13:30:00,1410,1435,1390,1420,30399270.97,,
2021-04-07T13:00:00,1430,1445,1365,1410,75929274.9,,
2021-04-07T12:30:00,1475,1495,1420,1430,46901892.54,,
2021-04-07T12:00:00,1500,1510,1460,1480,35792803.03,,
2021-04-07T11:30:00,1470,1520,1460,1500,37459123.94,,
2021-04-07T11:00:00,1485,1500,1455,1465,33957910.19,,
2021-04-07T10:30:00,1440,1495,1425,1485,33968422.56,,
2021-04-07T10:00:00,1425,1490,1415,1435,49583179.71,,
2021-04-07T09:30:00,1450,1470,1420,1425,46713362.3,,
2021-04-07T09:00:00,1475,1535,1410,1445,158865865.7,,
2021-04-07T08:30:00,1430,1495,1425,1475,69956902.59,,
2021-04-07T08:00:00,1410,1460,1410,1430,49510165.54,,
2021-04-07T07:30:00,1375,1430,1375,1410,32902865.45,,
2021-04-07T07:00:00,1350,1395,1340,1375,24087827.89,,
2021-04-07T06:30:00,1345,1375,1325,1350,29284610.51,,
2021-04-07T06:00:00,1355,1415,1345,1345,26579506.16,,
2021-04-07T05:30:00,1415,1420,1355,1355,23675416.24,,
2021-04-07T05:00:00,1390,1440,1375,1415,44317960.41,,
2021-04-07T04:30:00,1315,1395,1315,1390,21163632.63,,
2021-04-07T04:00:00,1295,1365,1290,1320,18630437.83,,
2021-04-07T03:30:00,1305,1320,1285,1295,11108910.23,,
2021-04-07T03:00:00,1280,1305,1250,1300,24715157.36,,
2021-04-07T02:30:00,1310,1325,1275,1275,16079674.26,,
2021-04-07T02:00:00,1295,1330,1295,1310,18915523.89,,
2021-04-07T01:30:00,1325,1340,1290,1295,28984014.57,,
2021-04-07T01:00:00,1255,1360,1245,1325,88884232.77,,
2021-04-07T00:30:00,1260,1260,1215,1255,52338164.49,,
2021-04-07T00:00:00,1280,1295,1240,1255,49235489.83,,
2021-04-06T23:30:00,1270,1300,1245,1285,60771730.83,,
2021-04-06T23:00:00,1285,1285,1230,1270,97192058.64,,
2021-04-06T22:30:00,1330,1335,1265,1285,69778584.82,,
2021-04-06T22:00:00,1335,1345,1320,1335,38983473.5,,
2021-04-06T21:30:00,1345,1375,1320,1340,66387572.08,,
2021-04-06T21:00:00,1335,1345,1295,1345,80056014.37,,
2021-04-06T20:30:00,1375,1375,1310,1330,78867559.31,,
2021-04-06T20:00:00,1405,1420,1320,1375,142508883.9,,
2021-04-06T19:30:00,1435,1480,1390,1400,141234720.8,,
2021-04-06T19:00:00,1370,1440,1355,1440,151501330.2,,
2021-04-06T18:30:00,1290,1380,1285,1370,72203053.04,,
2021-04-06T18:00:00,1330,1350,1285,1290,89564645.8,,
2021-04-06T17:30:00,1275,1370,1260,1330,186646300.1,,
2021-04-06T17:00:00,1190,1290,1185,1275,114432166.6,,
2021-04-06T16:30:00,1180,1215,1175,1190,34933198.26,,
2021-04-06T16:00:00,1175,1190,1170,1180,20009024.82,,
2021-04-06T15:30:00,1160,1180,1150,1175,18394717.16,,
2021-04-06T15:00:00,1165,1170,1135,1160,22587916.88,,
2021-04-06T14:30:00,1165,1175,1160,1165,14322991.86,,
2021-04-06T14:00:00,1195,1205,1160,1165,24536115.36,,
2021-04-06T13:30:00,1175,1225,1175,1195,47801656.36,,
2021-04-06T13:00:00,1155,1180,1155,1180,20478816.41,,
2021-04-06T12:30:00,1145,1180,1145,1155,26420103.45,,
2021-04-06T12:00:00,1125,1165,1125,1145,22220161.09,,
2021-04-06T11:30:00,1140,1155,1115,1125,30208116.64,,
2021-04-06T11:00:00,1140,1180,1130,1140,57830671.16,,
2021-04-06T10:30:00,1105,1150,1095,1135,66362875.73,,
2021-04-06T10:00:00,1145,1165,1065,1105,137872234.3,,
2021-04-06T09:30:00,1210,1210,1140,1150,72695507.46,,
2021-04-06T09:00:00,1245,1335,1175,1210,197300480.5,,
2021-04-06T08:30:00,1170,1270,1170,1240,93860056.94,,
2021-04-06T08:00:00,1185,1195,1140,1175,58461032.33,,
2021-04-06T07:30:00,1175,1230,1160,1185,68344798.2,,
2021-04-06T07:00:00,1200,1220,1130,1175,86520986.45,,
2021-04-06T06:30:00,1215,1260,1180,1200,98004437.06,,
2021-04-06T06:00:00,1170,1230,1155,1215,69991257.66,,
2021-04-06T05:30:00,1135,1195,1125,1175,60076650.24,,
2021-04-06T05:00:00,1105,1160,1100,1135,42935024.48,,
2021-04-06T04:30:00,1090,1110,1080,1105,14963508.38,,
2021-04-06T04:00:00,1080,1120,1075,1095,16494855.66,,
2021-04-06T03:30:00,1120,1120,1070,1080,27375005.63,,
2021-04-06T03:00:00,1080,1135,1070,1120,44759265.16,,
2021-04-06T02:30:00,1080,1115,1065,1080,41659664.74,,
2021-04-06T02:00:00,1105,1110,1055,1075,71027263.55,,
2021-04-06T01:30:00,1045,1160,1040,1100,216292083.1,,
2021-04-06T01:00:00,1010,1050,984,1045,124486411.2,,
2021-04-06T00:30:00,943,1015,941,1005,202056170,,
2021-04-06T00:00:00,950,955,936,942,36347714.08,,
